"","X","answer_id","token","lemma","POS","is_will_construction","is_goingTo_construction"
"17418",4004004,40708,"will"," will"," MD",1,0
"17419",4004012,40708,"will"," will"," MD",1,0
"17420",4004191,40708,"will"," will"," MD",1,0
"17421",4004395,40708,"will"," will"," MD",1,0
"17422",4004726,40709,"will"," will"," MD",1,0
"17423",4005251,40714,"will"," will"," MD",1,0
"17424",4005474,40714,"will"," will"," MD",1,0
"17425",4005662,40715,"will"," will"," MD",1,0
"17426",4006999,40724,"will"," will"," MD",1,0
"17427",4007009,40724,"will"," will"," MD",1,0
"17428",4007386,40737,"will"," will"," MD",1,0
"17429",4007391,40737,"will"," will"," MD",1,0
"17430",4008036,40738,"will"," will"," MD",1,0
"17431",4008247,40738,"will"," will"," MD",1,0
"17432",4008668,40739,"will"," will"," MD",1,0
"17433",4008834,40740,"will"," will"," MD",1,0
"17434",4008895,40740,"will"," will"," MD",1,0
"17435",4009106,40740,"will"," will"," MD",1,0
"17436",4009402,40741,"will"," will"," MD",1,0
"17437",4009462,40741,"will"," will"," MD",1,0
"17438",4009588,40741,"will"," will"," MD",1,0
"17439",4009594,40741,"will"," will"," MD",1,0
"17440",4010242,40746,"will"," will"," MD",1,0
"17441",4010430,40747,"will"," will"," MD",1,0
"17442",4010684,40747,"will"," will"," MD",1,0
"17443",4010916,40747,"will"," will"," MD",1,0
"17444",4010930,40747,"will"," will"," MD",1,0
"17445",4010936,40747,"will"," will"," MD",1,0
"17446",4011170,40748,"will"," will"," MD",1,0
"17447",4011185,40748,"will"," will"," MD",1,0
"17448",4011227,40748,"will"," will"," MD",1,0
"17449",4011293,40748,"will"," will"," MD",1,0
"17450",4011500,40748,"will"," will"," MD",1,0
"17451",4011520,40748,"will"," will"," MD",1,0
"17452",4011570,40748,"will"," will"," MD",1,0
"17453",4011791,40753,"""ll"""," will"," MD",1,0
"17454",4011799,40753,"""ll"""," will"," MD",1,0
"17455",4012739,40756,"will"," will"," MD",1,0
"17456",4012789,40756,"will"," will"," MD",1,0
"17457",4012795,40756,"will"," will"," MD",1,0
"17458",4012801,40756,"will"," will"," MD",1,0
"17459",4013120,40757,"will"," will"," MD",1,0
"17460",4013170,40757,"will"," will"," MD",1,0
"17461",4013176,40757,"will"," will"," MD",1,0
"17462",4013182,40757,"will"," will"," MD",1,0
"17463",4013333,40758,"will"," will"," MD",1,0
"17464",4013343,40758,"will"," will"," MD",1,0
"17465",4013631,40760,"will"," will"," MD",1,0
"17466",4013797,40770,"will"," will"," MD",1,0
"17467",4013805,40770,"will"," will"," MD",1,0
"17468",4013887,40775,"going"," go"," VBG",0,1
"17469",4014071,40791,"""ll"""," will"," MD",1,0
"17470",4014283,40812,"will"," will"," MD",1,0
"17471",4014737,40855,"will"," will"," MD",1,0
"17472",4014836,40862,"will"," will"," MD",1,0
"17473",4014842,40862,"will"," will"," MD",1,0
"17474",4014846,40862,"will"," will"," MD",1,0
